R_off,k_AA,Proton Flux (/s),Substrate Flux (/s)
3.981071705534963e-10,100.0,0.09897635928406294,-0.09686628924287895
5.011872336272719e-10,100.0,0.09923347813283033,-0.09686595635162455
6.309573444801887e-10,100.0,0.0995219661493902,-0.09686558284128385
7.943282347242791e-10,100.0,0.09984564989565044,-0.09686516375552441
9.999999999999972e-10,100.0,0.10020882257144585,-0.09686469353323578
1.2589254117941625e-09,100.0,0.10061630088224477,-0.09686416593473138
1.5848931924611111e-09,100.0,0.10107348882745935,-0.09686357395894599
1.9952623149688807e-09,100.0,0.10158644924906116,-0.09686290975052679
2.5118864315095745e-09,100.0,0.10216198408144325,-0.09686216449558788
3.1622776601683787e-09,100.0,0.10280772435673413,-0.09686132830474209
3.9810717055349615e-09,100.0,0.10353223114646563,-0.09686039008185886
5.01187233627272e-09,100.0,0.10434510876214292,-0.09685933737680454
6.309573444801932e-09,100.0,0.10525713169556948,-0.096858156220211
7.943282347242797e-09,100.0,0.10628038695660337,-0.09685683093807823
1e-08,100.0,0.10742843366342447,-0.09685534394374916
1.2589254117941638e-08,100.0,0.10871648196062307,-0.09685367550449367
1.584893192461112e-08,100.0,0.1101615935859517,-0.09685180347960333
1.995262314968881e-08,100.0,0.11178290668007665,-0.09684970302651624
2.5118864315095768e-08,100.0,0.11360188773804523,-0.09684734627106954
3.162277660168379e-08,100.0,0.11564261393956045,-0.09684470193749774
3.981071705534961e-08,100.0,0.11793208947087735,-0.09684173493326154
5.01187233627272e-08,100.0,0.12050059986774517,-0.0968384058831892
6.309573444801938e-08,100.0,0.12338210887003785,-0.09683467060673735
7.943282347242805e-08,100.0,0.12661470278839596,-0.09683047953142322
